,team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played
1,Manchester City,Premier League,England,2021,Arrivals,Julián Álvarez,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,Centre-Forward,22,Argentina,River Plate,Liga Profesional,Argentina,1.70E+07,FALSE,NA,Winter,NA,NA,NA,NA
2,Manchester City,Premier League,England,2021,Arrivals,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,Centre-Back,24,Netherlands,Troyes,Ligue 1,France,NA,TRUE,"End of loan Jan 25, 2022",Winter,1,0,0,0
3,Manchester City,Premier League,England,2021,Arrivals,Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,Right Winger,24,England,Troyes,Ligue 1,France,NA,TRUE,"End of loan Jan 20, 2022",Winter,NA,NA,NA,NA
4,Manchester City,Premier League,England,2021,Arrivals,Luka Ilic,https://www.transfermarkt.com/luka-ilic/profil/spieler/429790,Attacking Midfield,22,Serbia,Twente FC,Eredivisie,Netherlands,NA,TRUE,"End of loan Jan 1, 2022",Winter,NA,NA,NA,NA
5,Manchester City,Premier League,England,2021,Departures,Ferran Torres,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,Right Winger,21,Spain,Barcelona,LaLiga,Spain,5.50E+07,FALSE,NA,Winter,11,7,3,522
6,Manchester City,Premier League,England,2021,Departures,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,Centre-Back,24,Netherlands,Feyenoord,Eredivisie,Netherlands,0,FALSE,NA,Winter,1,0,0,0
7,Manchester City,Premier League,England,2021,Departures,Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,Right Winger,24,England,Sunderland,League One,England,0,FALSE,NA,Winter,NA,NA,NA,NA
8,Manchester City,Premier League,England,2021,Departures,Luka Ilic,https://www.transfermarkt.com/luka-ilic/profil/spieler/429790,Attacking Midfield,22,Serbia,Troyes,Ligue 1,France,NA,FALSE,?,Winter,NA,NA,NA,NA
9,Manchester City,Premier League,England,2021,Departures,Julián Álvarez,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,Centre-Forward,22,Argentina,River Plate,Liga Profesional,Argentina,NA,TRUE,loan transfer,Winter,NA,NA,NA,NA
10,Liverpool FC,Premier League,England,2021,Arrivals,Luis Díaz,https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,Left Winger,25,Colombia,FC Porto,Liga Bwin,Portugal,4.50E+07,FALSE,NA,Winter,0,0,0,0
