Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,carriesin_3rd,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-035,2000,20.9,1209,95,449,515,333,18,998,25,55,45.5,26,4,722,4281,2612,118,38,8,16,20,767,692,90.2,29,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-210,1996,11.4,388,20,63,166,176,48,380,5,13,38.5,7,0,235,908,392,17,6,4,29,26,504,254,50.4,71,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-247,2001,10,669,34,243,248,203,22,564,22,38,57.9,26,2,403,1876,1195,64,10,7,14,18,425,374,88,26,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-297,1998,9.3,473,52,219,211,73,14,411,7,9,77.8,7,0,233,1478,859,26,9,0,9,4,234,206,88,9,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-355,1995,6.5,549,40,192,321,80,3,530,0,2,0,0,0,402,2084,1406,47,9,0,2,1,446,426,95.5,1,Matches
6,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-082,1989,6.1,277,19,69,126,92,5,238,12,22,54.5,13,1,162,587,227,11,4,2,6,8,207,147,71,13,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-303,1991,7.5,718,19,137,465,169,20,710,2,6,33.3,2,0,527,2316,1204,65,23,4,5,5,561,533,95,18,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-124,1998,19.7,1904,51,379,889,720,59,1556,16,26,61.5,16,0,1077,4033,2224,105,40,10,9,16,1266,1182,93.4,75,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-129,1992,20,789,606,783,7,0,0,664,1,2,50,1,0,455,1613,874,0,0,0,0,0,446,441,98.9,0,Matches
10,Allan\cc700722,br BRA,MF,Everton,31-031,1991,16.1,778,50,231,449,142,9,736,13,17,76.5,13,1,470,2369,1277,65,19,2,10,20,434,399,91.9,11,Matches
11,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-303,1996,7.3,331,23,87,172,97,20,321,5,18,27.8,7,2,213,908,446,17,6,0,12,18,262,199,76,31,Matches
12,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,27-363,1994,10.9,415,12,92,169,185,32,411,8,19,42.1,12,1,290,1921,926,47,11,4,15,23,351,248,70.7,32,Matches
13,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-042,1990,15.9,1125,59,323,390,454,42,934,11,26,42.3,12,1,625,2904,1631,81,15,8,18,21,725,627,86.5,61,Matches
14,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-153,1998,2.8,169,8,48,98,35,2,169,1,2,50,1,1,115,484,264,13,8,0,3,3,113,105,92.9,3,Matches
15,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-049,1994,9.7,645,110,367,296,15,0,635,3,5,60,3,0,439,1888,1157,25,4,0,3,1,468,459,98.1,0,Matches
16,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-253,1996,16.4,1239,273,782,501,34,12,1203,2,4,50,2,0,766,4286,2117,32,2,0,1,4,886,877,99,1,Matches
17,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-317,1990,21.4,790,12,52,301,488,120,770,24,54,44.4,26,4,594,2917,1693,91,26,21,83,65,1147,608,53,172,Matches
18,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-202,2001,0.3,12,0,1,2,9,3,12,1,2,50,1,0,7,15,0,0,0,0,0,1,9,6,66.7,2,Matches
19,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-346,1993,1,42,40,42,0,0,0,25,0,0,,0,0,17,49,13,0,0,0,0,0,20,20,100,0,Matches
20,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,24-363,1997,13.3,402,6,37,161,239,68,376,14,29,48.3,15,1,281,1663,928,56,17,15,25,21,534,282,52.8,90,Matches
21,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-315,1992,3.8,167,13,35,82,67,11,166,3,7,42.9,4,0,125,929,486,21,8,2,3,5,140,116,82.9,15,Matches
22,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-128,1994,4,149,130,149,0,0,0,120,0,0,,0,0,85,253,117,0,0,0,0,0,81,81,100,0,Matches
23,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-086,2001,0.1,9,1,3,1,5,0,8,0,0,,0,0,4,21,5,1,0,0,0,0,8,6,75,0,Matches
24,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-235,1989,11.5,321,5,34,140,167,55,313,2,6,33.3,3,0,169,1024,600,29,11,9,20,5,443,225,50.8,56,Matches
25,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-150,1991,14.8,773,10,110,417,327,56,767,28,58,48.3,29,5,604,3700,2126,107,36,18,46,47,714,562,78.7,70,Matches
26,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-167,1991,12,935,122,519,387,103,13,872,12,16,75,12,1,591,3820,2290,53,14,1,11,7,634,611,96.4,7,Matches
27,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-164,1989,15.4,1274,92,407,581,334,38,1149,9,11,81.8,9,0,744,2965,1628,84,17,5,8,5,910,855,94,39,Matches
28,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-214,1994,11,362,309,359,3,0,0,249,1,1,100,1,0,163,889,567,0,0,0,0,0,135,134,99.3,0,Matches
29,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-183,1997,4.7,208,5,31,74,119,18,194,10,17,58.8,11,1,154,929,473,30,3,6,11,18,181,141,77.9,28,Matches
30,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-302,1994,2.4,114,26,74,41,3,0,110,0,2,0,0,0,62,313,142,5,0,0,1,3,54,53,98.1,0,Matches
31,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-220,2001,0.8,23,1,3,10,12,6,23,0,2,0,0,0,16,50,16,1,0,1,4,2,34,17,50,7,Matches
32,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-156,1993,5.1,151,10,22,67,72,31,138,3,7,42.9,4,0,90,343,152,8,2,1,15,6,216,97,44.9,30,Matches
33,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-306,1998,9.1,344,12,77,185,115,16,343,10,14,71.4,10,0,245,1243,702,38,12,2,19,8,327,217,66.4,31,Matches
34,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-065,1993,1.7,131,0,9,50,86,7,124,4,5,80,5,0,94,743,451,18,10,1,1,6,118,108,91.5,20,Matches
35,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-101,1989,4.2,136,2,13,71,61,22,133,1,3,33.3,1,0,84,274,115,7,3,2,13,7,193,88,45.6,19,Matches
36,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-061,1997,12.3,545,8,60,242,302,68,542,16,45,35.6,20,1,429,2691,1814,94,31,22,35,31,588,434,73.8,89,Matches
37,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-102,2002,0.5,29,1,7,19,7,0,29,1,2,50,1,1,22,104,28,0,1,0,4,2,27,19,70.4,1,Matches
38,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-032,1999,4.2,267,44,146,107,30,2,223,0,0,,0,0,143,905,620,13,3,0,0,0,158,151,95.6,2,Matches
39,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-302,1996,15.7,955,132,476,478,43,15,910,2,2,100,2,0,500,2171,1128,15,0,0,1,1,546,532,97.4,4,Matches
40,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-296,1997,0.8,53,2,19,21,15,4,53,3,4,75,3,0,31,59,23,2,0,1,1,4,41,30,73.2,5,Matches
41,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-233,1987,1,25,24,25,0,0,0,12,0,0,,0,0,5,24,16,0,0,0,0,0,8,8,100,0,Matches
42,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-182,1995,16,736,11,94,309,386,64,720,18,45,40,21,4,554,3079,1647,75,21,16,30,26,721,545,75.6,107,Matches
